Date,Starting_Inv_Amount,Ending_Inv_Amount,Rough_Volume
2015-01-01,86.35,88.0,86438
2015-01-02,87.05,90.0,229937
2015-01-05,87.1,89.0,110796
2015-01-06,84.25,86.9,195146
2015-01-07,83.8,86.55,138532
2015-01-08,85.3,87.0,541297
2015-01-09,84.0,87.95,868542
2015-01-12,84.1,86.8,460170
2015-01-13,86.5,91.0,540147
2015-01-14,84.7,87.9,112881
2015-01-15,83.85,86.7,294850
2015-01-16,84.0,86.0,539331
2015-01-19,84.55,97.4,1546922
2015-01-20,91.25,96.5,708412
2015-01-21,89.55,93.45,290700
2015-01-22,88.55,92.8,240537
2015-01-23,86.8,92.6,454455
2015-01-27,86.9,90.9,302955
2015-01-28,86.9,91.0,636713
2015-01-29,91.0,95.3,906436
2015-01-30,94.05,99.0,773422
2015-02-02,92.65,98.3,531190
2015-02-03,95.3,97.3,312246
2015-02-04,93.5,96.85,424270
2015-02-05,94.0,96.2,727044
2015-02-06,91.55,96.4,447941
2015-02-09,86.9,93.6,741905
2015-02-10,85.05,90.7,305292
2015-02-11,84.4,89.0,316053
2015-02-12,85.2,88.3,216186
2015-02-13,85.5,87.9,263284
2015-02-16,84.55,87.0,203075
2015-02-18,84.1,88.95,462176
2015-02-19,86.75,88.9,275586
2015-02-20,86.0,87.75,117398
2015-02-23,85.65,87.9,233579
2015-02-24,86.0,89.7,340969
2015-02-25,87.5,89.5,218691
2015-02-26,86.75,88.5,279255
2015-02-27,86.1,88.5,151066
2015-03-02,86.45,89.6,357606
2015-03-03,87.0,89.0,154838
2015-03-04,86.6,95.95,1443224
2015-03-05,93.3,97.9,879992
2015-03-09,90.7,94.5,476800
2015-03-10,90.75,95.5,245009
2015-03-11,91.0,93.5,131177
2015-03-12,92.0,95.2,173330
2015-03-13,91.5,95.35,274196
2015-03-16,90.35,92.1,201035
2015-03-17,88.25,92.9,359755
2015-03-18,88.05,90.3,225139
2015-03-19,87.65,90.4,151027
2015-03-20,85.1,90.0,379951
2015-03-23,82.5,90.25,220452
2015-03-24,87.0,89.2,123772
2015-03-25,84.2,89.85,373394
2015-03-26,84.4,86.1,197259
2015-03-27,82.5,86.9,300112
2015-03-30,83.0,88.15,280049
2015-03-31,87.0,90.0,182121
2015-04-01,88.35,91.25,84369
2015-04-06,88.25,92.0,91724
2015-04-07,89.0,94.0,302891
2015-04-08,91.95,95.4,268293
2015-04-09,93.1,96.0,210128
2015-04-10,92.15,95.0,215629
2015-04-13,93.65,102.1,643773
2015-04-15,96.25,102.4,513938
2015-04-16,95.1,98.25,145546
2015-04-17,95.2,99.3,225913
2015-04-20,92.5,98.85,189416
2015-04-21,92.7,95.55,227649
2015-04-22,88.1,94.5,339193
2015-04-23,91.5,93.85,138859
2015-04-24,88.8,93.15,252501
2015-04-27,86.0,90.3,201312
2015-04-28,85.6,90.75,206751
2015-04-29,86.2,90.8,139586
2015-04-30,88.3,91.5,109216
2015-05-04,89.85,92.75,140549
2015-05-05,90.8,92.3,56704
2015-05-06,88.05,91.4,121026
2015-05-07,86.5,90.0,132329
2015-05-08,87.3,88.8,70014
2015-05-11,87.25,89.15,65058
2015-05-12,85.8,89.4,106260
2015-05-13,88.5,90.7,67351
2015-05-14,87.75,88.85,39204
2015-05-15,87.15,89.0,34937
2015-05-18,87.05,89.55,57939
2015-05-19,87.55,89.0,35664
2015-05-20,87.1,88.95,51113
2015-05-21,87.65,91.0,207406
2015-05-22,89.4,94.0,444350
2015-05-25,87.65,90.9,148649
2015-05-26,88.0,91.25,112724
2015-05-27,86.5,88.05,64273
2015-05-28,86.2,87.85,45848
2015-05-29,86.25,88.0,63641
2015-06-01,85.6,87.05,78891
2015-06-02,83.25,86.6,150685
2015-06-03,83.65,86.35,109820
2015-06-04,82.5,87.4,161481
2015-06-05,85.6,88.7,78677
2015-06-08,85.75,89.6,78475
2015-06-09,85.0,87.95,31787
2015-06-10,83.75,85.8,92034
2015-06-11,82.0,85.9,69382
2015-06-12,80.0,82.95,101774
2015-06-15,80.05,82.6,74006
2015-06-16,80.0,81.9,111932
2015-06-17,80.34,83.65,80095
2015-06-18,83.45,84.75,27670
2015-06-19,81.55,84.75,60725
2015-06-22,81.4,84.3,137546
